mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
14.237916390101114,1.9688898125798633,0.5325345198313395,0.08491930421109896,,0.7,1,10,120,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.7814355099838101,0.7717886832931081,0.7823560486001057,0.7785267472923413,0.0047793289402972535,10,0.9680286384396988,0.968506854390515,0.9662228796844181,0.967586124171544,0.0009835308070630076
18.78741153081258,0.9823131207180209,0.6812072594960531,0.1569456220246677,,0.7,1,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7786177105831533,0.7734122712594187,0.7843758247558723,0.7788019355328147,0.004477747234302713,9,0.9698467622343054,0.9691434213774377,0.968322445457907,0.9691042096898834,0.0006229171031167561
11.139312267303467,0.057660132359181854,0.38719693819681805,0.04052371866830839,,0.7,4,2,120,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.7744282744282744,0.7640681466184822,0.7700831024930748,0.7695265078466105,0.004247776693688289,14,0.9472532814778805,0.9461948618516723,0.9411195744166364,0.9448559059153965,0.002677087077123843
18.45457379023234,0.4821080307785276,0.8122093677520752,0.13390369619999332,,0.7,4,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7748636717735653,0.7675563617517491,0.769889224572004,0.7707697526991062,0.003047478988245556,11,0.9484184914841849,0.9515129420342691,0.9424869838963555,0.9474728058049365,0.003745016344405225
10.744313557942709,0.33440140278309455,0.5236904621124268,0.07655935086206403,,0.7,4,10,120,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.7702944942381562,0.7656329435688867,0.7691158156911582,0.768347751166067,0.0019790496029777273,15,0.9356936416184971,0.9355149181905679,0.930662188099808,0.9339569159696244,0.0023308666940333356
18.103949228922527,0.36770811741752246,0.6600624720255533,0.027172027980945652,,0.7,4,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7694274028629857,0.7663694267515924,0.7664342629482072,0.7674103641875951,0.0014265073189703794,17,0.9380274897516276,0.9397009165460685,0.9312995435983665,0.9363426499653542,0.0036308658912764316
5.636234680811564,0.3667953529727012,0.4880082607269287,0.07062931394521389,12,sqrt,1,2,120,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.6633165829145728,0.6503613118399111,0.6504782928623988,0.6547187292056277,0.00607978823316644,43,0.6964777366372353,0.6823747680890538,0.6804601966969753,0.6864375671410882,0.007142368819813419
8.803802808125814,0.14681606293152738,0.6275998751322428,0.009012844934881787,12,sqrt,1,2,200,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.6680933852140077,0.6557623613461177,0.6543095458758109,0.6593884308119787,0.00618384139262661,37,0.7000381388253242,0.6882811765811484,0.6854153041203401,0.6912448731756043,0.006326897440310603
5.087840716044108,0.4818189100457505,0.530163844426473,0.09012785925352551,12,sqrt,1,10,120,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.6608231707317073,0.6516605166051661,0.649274297262539,0.6539193281998043,0.00497800441721833,44,0.6849417249417249,0.6789565858604479,0.679465776293823,0.6811213623653319,0.0027093906308354072
8.163592100143433,0.4281731037529519,0.5760951042175293,0.05598422736365425,12,sqrt,1,10,200,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.6635962387257724,0.6525690966425524,0.6488872540003678,0.6550175297895643,0.006249516064975821,42,0.6892018779342723,0.6797337278106509,0.6800334168755221,0.682989674206815,0.004394394895582022
